Sector,yearly_return
RETAILING,1.133053993255651
DEFENCE,1.017600574712644
TELECOM,0.69599048957095
POWER,0.601840952881961
AUTOMOBILES,0.5452653707510527
MINING,0.418465227817746
SOFTWARE,0.38275954166627263
CEMENT,0.36970944863875543
ENERGY,0.3656478760183928
ALUMINIUM,0.3586831961662674
TEXTILES,0.3578198804497765
PHARMACEUTICALS,0.3137917300152913
MISCELLANEOUS,0.2184510239291595
STEEL,0.19217124614573192
ENGINEERING,0.17253721630196048
INSURANCE,0.11767832027533359
FINANCE,0.11576063201001445
BANKING,0.11380534233917365
FMCG,0.055486916624390516
FOOD & TOBACCO,0.04321734389748768
PAINTS,-0.2193504586576567
