Ticker,month,first_close,last_close,monthly_return
ADANIENT,2023-10,2387.25,2294.65,-0.03878940203162631
ADANIENT,2023-11,2217.3,2358.55,0.06370360348171199
ADANIENT,2023-12,2362.7,2848.95,0.20580268337071997
ADANIENT,2024-01,2917.2,3142.0,0.0770601947072536
ADANIENT,2024-02,3153.5,3285.4,0.04182654193752976
ADANIENT,2024-03,3318.75,3197.1,-0.036655367231638446
ADANIENT,2024-04,3252.1,3054.7,-0.060699240490759844
ADANIENT,2024-05,3039.6,3411.35,0.12230227661534412
ADANIENT,2024-06,3645.25,3177.15,-0.12841368904739042
ADANIENT,2024-07,3183.8,3169.4,-0.004522897166907497
ADANIENT,2024-08,3217.25,3019.35,-0.061512161007071284
ADANIENT,2024-09,3042.15,3135.85,0.03080058511250261
ADANIENT,2024-10,3186.1,2947.25,-0.07496625969053072
ADANIENT,2024-11,2949.5,2228.0,-0.24461773181895236
ADANIPORTS,2023-10,831.4,784.75,-0.05611017560740916
ADANIPORTS,2023-11,769.1,825.5,0.07333246651930825
ADANIPORTS,2023-12,827.8,1024.35,0.2374365788837883
ADANIPORTS,2024-01,1047.85,1207.65,0.15250274371331793
ADANIPORTS,2024-02,1218.85,1320.5,0.0833982852689011
ADANIPORTS,2024-03,1322.1,1341.85,0.01493835564632025
ADANIPORTS,2024-04,1375.9,1324.9,-0.03706664728541318
ADANIPORTS,2024-05,1338.8,1437.4,0.07364804302360334
ADANIPORTS,2024-06,1583.95,1478.1,-0.06682660437513818
ADANIPORTS,2024-07,1474.5,1569.9,0.06469989827060027
ADANIPORTS,2024-08,1590.15,1481.9,-0.06807533880451529
ADANIPORTS,2024-09,1494.5,1448.2,-0.030980260956841723
ADANIPORTS,2024-10,1467.5,1375.95,-0.06238500851788753
ADANIPORTS,2024-11,1394.4,1136.75,-0.18477481353987382
APOLLOHOSP,2023-10,5118.95,4819.9,-0.05842018382676138
APOLLOHOSP,2023-11,4796.55,5528.95,0.15269308148565106
APOLLOHOSP,2023-12,5591.15,5704.1,0.02020156855029837
APOLLOHOSP,2024-01,5750.05,6352.95,0.10485126216293765
APOLLOHOSP,2024-02,6287.95,6101.6,-0.029636049904976893
APOLLOHOSP,2024-03,6085.4,6356.8,0.044598547342820614
APOLLOHOSP,2024-04,6457.25,5947.1,-0.07900422006272015
APOLLOHOSP,2024-05,5958.55,5839.2,-0.020030040865646904
APOLLOHOSP,2024-06,5851.2,6185.7,0.057167760459392945
APOLLOHOSP,2024-07,6140.5,6615.3,0.07732269359172708
APOLLOHOSP,2024-08,6706.4,6927.5,0.032968507694142966
APOLLOHOSP,2024-09,6880.05,7199.15,0.04638047688606906
APOLLOHOSP,2024-10,7153.35,7022.7,-0.01826416993436649
APOLLOHOSP,2024-11,7031.95,6935.1,-0.013772851058383443
ASIANPAINT,2023-10,3166.85,2995.7,-0.05404423954402643
ASIANPAINT,2023-11,2934.55,3119.9,0.06316130241433947
ASIANPAINT,2023-12,3173.4,3402.4,0.07216234953047204
ASIANPAINT,2024-01,3396.1,2957.85,-0.12904508112246402
ASIANPAINT,2024-02,2929.35,2821.9,-0.036680492259374885
ASIANPAINT,2024-03,2831.75,2846.75,0.005297077778758718
ASIANPAINT,2024-04,2871.0,2875.9,0.0017067223963776004
ASIANPAINT,2024-05,2975.4,2881.2,-0.03165960879209527
ASIANPAINT,2024-06,2866.45,2917.05,0.01765249699105178
ASIANPAINT,2024-07,2927.8,3084.45,0.05350433772798676
ASIANPAINT,2024-08,3099.35,3126.8,0.008856695758788221
ASIANPAINT,2024-09,3150.95,3329.1,0.05653850426061985
ASIANPAINT,2024-10,3277.35,2935.65,-0.10426106457961458
ASIANPAINT,2024-11,2939.85,2472.2,-0.15907274180655478
AXISBANK,2023-10,1041.05,981.85,-0.056865664473368174
AXISBANK,2023-11,971.8,1074.25,0.10542292652809225
AXISBANK,2023-12,1104.65,1102.3,-0.0021273706603902923
AXISBANK,2024-01,1097.7,1067.75,-0.027284321763687752
AXISBANK,2024-02,1084.25,1075.1,-0.00843901314272547
AXISBANK,2024-03,1099.25,1047.2,-0.04735046622697289
AXISBANK,2024-04,1053.1,1165.9,0.10711233501092032
AXISBANK,2024-05,1149.85,1162.15,0.010697047440970721
AXISBANK,2024-06,1223.9,1265.25,0.03378543998692696
AXISBANK,2024-07,1261.9,1166.1,-0.07591726761233075
AXISBANK,2024-08,1172.3,1175.25,0.00251642071142203
AXISBANK,2024-09,1188.8,1232.2,0.036507402422611114
AXISBANK,2024-10,1226.65,1159.55,-0.05470183018791027
AXISBANK,2024-11,1169.55,1142.4,-0.02321405668846981
BAJAJ-AUTO,2023-10,5016.45,5314.05,0.05932482133779872
BAJAJ-AUTO,2023-11,5344.35,6090.55,0.13962408899117756
