Sector,avg_yearly_return,stock_count
RETAILING,1.1672888785002458,2
DEFENCE,1.0226863521786105,1
TELECOM,0.6979172301866378,1
POWER,0.6236652377344942,2
AUTOMOBILES,0.5597513418079303,6
MINING,0.4379232505643342,1
CEMENT,0.4007523842947473,1
SOFTWARE,0.38207002971731663,5
ALUMINIUM,0.3774820447824251,1
TEXTILES,0.3761557770316787,1
ENERGY,0.3707663042423977,3
PHARMACEUTICALS,0.3306822873676829,3
MISCELLANEOUS,0.21880466524150965,3
STEEL,0.2156354909464971,2
ENGINEERING,0.1901577078688795,1
FINANCE,0.14521795650546124,3
INSURANCE,0.13457151951887,2
BANKING,0.1316886203697041,6
FMCG,0.0504490323457611,3
FOOD & TOBACCO,0.0330353586367946,2
PAINTS,-0.2201015804914982,1
