Ticker,close,date,high,low,month,open,volume,prev_close,daily_return,cumulative_return
BAJAJ-AUTO,4918.6,2023-10-04 05:30:00,5019.2,4903.05,2023-10,5011.25,256544,5016.45,-0.0195058258330092,-0.019505825833009194
BAJAJ-AUTO,5011.05,2023-10-05 05:30:00,5039.3,4925.1,2023-10,4935.0,657876,4918.6,0.0187959988614646,-0.0010764584516937958
BAJAJ-AUTO,5014.6,2023-10-06 05:30:00,5120.0,4997.5,2023-10,5120.0,279352,5011.05,0.0007084343600642,-0.00036878669178386225
BAJAJ-AUTO,5007.3,2023-10-09 05:30:00,5068.7,4957.05,2023-10,4957.05,244083,5014.6,-0.0014557492123001,-0.0018239990431478947
BAJAJ-AUTO,5037.5,2023-10-10 05:30:00,5064.0,5002.2,2023-10,5007.3,307502,5007.3,0.006031194456094,0.004196194520029062
BAJAJ-AUTO,5064.4,2023-10-11 05:30:00,5095.0,5050.0,2023-10,5055.0,575680,5037.5,0.0053399503722083,0.009558552362726402
BAJAJ-AUTO,5106.6,2023-10-12 05:30:00,5151.0,5051.1,2023-10,5085.0,472168,5064.4,0.0083326751441435,0.01797087581855683
BAJAJ-AUTO,5052.4,2023-10-13 05:30:00,5123.45,5040.0,2023-10,5089.95,387366,5106.6,-0.0106137155837544,0.007166422470073375
BAJAJ-AUTO,5076.7,2023-10-16 05:30:00,5099.4,5032.0,2023-10,5035.0,158560,5052.4,0.004809595439791,0.012010485502696122
BAJAJ-AUTO,5141.25,2023-10-17 05:30:00,5150.0,5070.0,2023-10,5083.0,318565,5076.7,0.0127149526267063,0.02487815088359291
BAJAJ-AUTO,5137.35,2023-10-18 05:30:00,5198.75,5125.65,2023-10,5150.0,360985,5141.25,-0.000758570386579,0.024100708668480797
BAJAJ-AUTO,5482.6,2023-10-19 05:30:00,5495.0,5245.0,2023-10,5300.0,2838352,5137.35,0.0672039086299356,0.09292427912168977
BAJAJ-AUTO,5489.3,2023-10-20 05:30:00,5510.0,5436.9,2023-10,5450.0,763919,5482.6,0.0012220479334621,0.09425988497842108
BAJAJ-AUTO,5405.4,2023-10-23 05:30:00,5493.4,5395.05,2023-10,5453.05,451167,5489.3,-0.015284280327182,0.07753491014562108
BAJAJ-AUTO,5347.3,2023-10-25 05:30:00,5423.95,5332.3,2023-10,5385.0,620266,5405.4,-0.0107485107485106,0.06595301458202552
BAJAJ-AUTO,5259.35,2023-10-26 05:30:00,5347.45,5236.0,2023-10,5333.85,746266,5347.3,-0.016447552970658,0.04842069591045495
BAJAJ-AUTO,5373.55,2023-10-27 05:30:00,5423.7,5265.0,2023-10,5265.0,843465,5259.35,0.0217137098690902,0.07118579872220421
BAJAJ-AUTO,5308.9,2023-10-30 05:30:00,5397.75,5275.0,2023-10,5388.0,360967,5373.55,-0.0120311525900011,0.058298198925535116
BAJAJ-AUTO,5314.05,2023-10-31 05:30:00,5366.15,5292.6,2023-10,5340.0,400987,5308.9,0.0009700691291982,0.059324821337798817
BAJAJ-AUTO,5344.35,2023-11-01 05:30:00,5449.5,5305.0,2023-11,5305.0,619765,5314.05,0.0057018658085641,0.06536494931674808
BAJAJ-AUTO,5318.4,2023-11-02 05:30:00,5392.85,5285.0,2023-11,5383.9,304362,5344.35,-0.0048555951612451,0.06019196842388563
BAJAJ-AUTO,5368.95,2023-11-03 05:30:00,5377.05,5316.6,2023-11,5357.0,448715,5318.4,0.009504738267148,0.07026881559668707
BAJAJ-AUTO,5406.85,2023-11-06 05:30:00,5427.5,5377.1,2023-11,5380.0,394137,5368.95,0.0070591083917713,0.07782395917431684
BAJAJ-AUTO,5419.0,2023-11-07 05:30:00,5445.0,5405.3,2023-11,5406.85,202689,5406.85,0.0022471494493096,0.0802459906906281
BAJAJ-AUTO,5397.6,2023-11-08 05:30:00,5435.25,5381.25,2023-11,5434.0,202145,5419.0,-0.0039490680937441,0.07598002571539686
BAJAJ-AUTO,5418.9,2023-11-09 05:30:00,5455.0,5382.15,2023-11,5421.8,232773,5397.6,0.00394619831036,0.08022605627485602
BAJAJ-AUTO,5392.05,2023-11-10 05:30:00,5427.05,5349.05,2023-11,5409.95,149325,5418.9,-0.004954880141726,0.07487366564004483
BAJAJ-AUTO,5442.55,2023-11-12 05:30:00,5455.0,5358.6,2023-11,5425.0,29055,5392.05,0.0093656401554139,0.08494054560496012
BAJAJ-AUTO,5425.2,2023-11-13 05:30:00,5439.8,5395.55,2023-11,5435.0,93497,5442.55,-0.0031878439334503,0.081481924468499
BAJAJ-AUTO,5536.7,2023-11-15 05:30:00,5555.0,5461.1,2023-11,5525.0,640468,5425.2,0.0205522377055223,0.10370879805440136
BAJAJ-AUTO,5550.9,2023-11-16 05:30:00,5583.3,5496.95,2023-11,5520.0,324712,5536.7,0.0025647046074376,0.10653948509404088
BAJAJ-AUTO,5631.5,2023-11-17 05:30:00,5674.95,5479.35,2023-11,5556.9,531539,5550.9,0.0145201679007008,0.12260662420636126
BAJAJ-AUTO,5650.15,2023-11-20 05:30:00,5675.95,5606.0,2023-11,5610.05,679425,5631.5,0.0033117286690934,0.12632439274785967
BAJAJ-AUTO,5685.95,2023-11-21 05:30:00,5707.35,5640.0,2023-11,5640.5,746193,5650.15,0.006336114970399,0.13346091359427503
BAJAJ-AUTO,5751.55,2023-11-22 05:30:00,5764.9,5661.3,2023-11,5680.0,497403,5685.95,0.0115372101407856,0.14653789034077902
BAJAJ-AUTO,5925.25,2023-11-23 05:30:00,5945.0,5783.1,2023-11,5800.0,1118718,5751.55,0.0302005546330988,0.18116397053693345
BAJAJ-AUTO,5930.3,2023-11-24 05:30:00,5960.0,5900.0,2023-11,5940.0,297211,5925.25,0.0008522847137251,0.18217065853342485
BAJAJ-AUTO,5998.15,2023-11-28 05:30:00,6039.65,5912.0,2023-11,5969.8,380535,5930.3,0.0114412424329291,0.19569615963480125
BAJAJ-AUTO,6069.95,2023-11-29 05:30:00,6096.4,5973.3,2023-11,6010.0,406974,5998.15,0.0119703575269041,0.21000907015917614
BAJAJ-AUTO,6090.55,2023-11-30 05:30:00,6128.9,6031.0,2023-11,6095.0,501833,6069.95,0.0033937676587122,0.21411555980823072
BAJAJ-AUTO,6046.05,2023-12-01 05:30:00,6090.0,6003.3,2023-12,6050.0,439023,6090.55,-0.0073064008997545,0.20524474478964194
BAJAJ-AUTO,6201.7,2023-12-04 05:30:00,6217.7,6087.45,2023-12,6090.55,359158,6046.05,0.0257440808461722,0.23627266293893068
BAJAJ-AUTO,6140.1,2023-12-05 05:30:00,6194.05,6111.1,2023-12,6194.05,565826,6201.7,-0.0099327603721559,0.22399306282331133
BAJAJ-AUTO,6069.95,2023-12-06 05:30:00,6096.0,5987.85,2023-12,6089.05,699201,6140.1,-0.0114248953600105,0.21000907015917636
BAJAJ-AUTO,6093.6,2023-12-07 05:30:00,6154.45,6063.1,2023-12,6069.95,427407,6069.95,0.003896242967405,0.21472355948928024
BAJAJ-AUTO,6075.7,2023-12-08 05:30:00,6120.0,6048.05,2023-12,6115.0,233266,6093.6,-0.0029375082053302,0.21115529906607255
BAJAJ-AUTO,6138.4,2023-12-11 05:30:00,6145.0,6018.3,2023-12,6085.0,175955,6075.7,0.0103197985417317,0.22365417775518504
BAJAJ-AUTO,6254.2,2023-12-12 05:30:00,6299.95,6149.95,2023-12,6164.0,810900,6138.4,0.0188648507754464,0.24673823121928806
BAJAJ-AUTO,6316.1,2023-12-13 05:30:00,6329.0,6224.35,2023-12,6259.9,373989,6254.2,0.0098973489814845,0.2590776345822239
BAJAJ-AUTO,6334.85,2023-12-14 05:30:00,6360.0,6284.2,2023-12,6325.0,419212,6316.1,0.0029686040436345,0.2628153375394944
BAJAJ-AUTO,6275.2,2023-12-15 05:30:00,6402.1,6256.15,2023-12,6368.95,553522,6334.85,-0.0094161661286377,0.25092445853143075
BAJAJ-AUTO,6465.7,2023-12-18 05:30:00,6486.75,6262.15,2023-12,6275.2,851061,6275.2,0.0303575981642019,0.28889952057729973
BAJAJ-AUTO,6419.0,2023-12-19 05:30:00,6470.25,6395.9,2023-12,6470.0,377109,6465.7,-0.0072227291708554,0.27959014841172447
BAJAJ-AUTO,6364.45,2023-12-20 05:30:00,6466.0,6350.0,2023-12,6434.0,385863,6419.0,-0.0084982084436828,0.2687159246080386
BAJAJ-AUTO,6246.35,2023-12-21 05:30:00,6345.0,6232.0,2023-12,6333.2,397717,6364.45,-0.0185561988859994,0.24517337958117724
BAJAJ-AUTO,6372.1,2023-12-22 05:30:00,6395.0,6264.25,2023-12,6288.0,237213,6246.35,0.0201317569460564,0.27024090741460505
BAJAJ-AUTO,6464.55,2023-12-26 05:30:00,6475.0,6370.05,2023-12,6379.85,302139,6372.1,0.0145085607570502,0.2886702747959202
BAJAJ-AUTO,6709.65,2023-12-27 05:30:00,6740.25,6465.2,2023-12,6470.0,1017894,6464.55,0.0379144720050118,0.337529527853361
BAJAJ-AUTO,6703.3,2023-12-28 05:30:00,6738.65,6666.0,2023-12,6709.65,406228,6709.65,-0.0009463980982613,0.3362636924518323
BAJAJ-AUTO,6797.25,2023-12-29 05:30:00,6833.95,6666.0,2023-12,6729.95,345626,6703.3,0.0140154849104172,0.3549920760697294
BAJAJ-AUTO,6701.1,2024-01-01 05:30:00,6795.5,6682.05,2024-01,6770.0,253274,6797.25,-0.0141454264592297,0.33582513530484603
BAJAJ-AUTO,6665.05,2024-01-02 05:30:00,6736.8,6560.95,2024-01,6711.0,361379,6701.1,-0.0053797137783349,0.32863877841900035
BAJAJ-AUTO,6986.5,2024-01-03 05:30:00,7059.85,6604.0,2024-01,6644.05,1256275,6665.05,0.0482291955799281,0.392717957918447
BAJAJ-AUTO,6922.15,2024-01-04 05:30:00,7028.95,6887.0,2024-01,7025.0,619987,6986.5,-0.0092106204823588,0.37989016136909437
BAJAJ-AUTO,6978.5,2024-01-05 05:30:00,7084.0,6920.5,2024-01,6950.0,659306,6922.15,0.0081405343715464,0.39112320465667816
BAJAJ-AUTO,6983.85,2024-01-08 05:30:00,7049.85,6961.5,2024-01,7018.95,312733,6978.5,0.0007666403955005,0.392189695900486
BAJAJ-AUTO,7093.9,2024-01-09 05:30:00,7399.0,7075.9,2024-01,7341.0,2125908,6983.85,0.0157577840302983,0.4141275204576924
